"Alkuaika UTC";"Loppuaika UTC";"Vesivoimatuotanto - reaaliaikatieto"
"2025-01-02T00:00:00.000Z";"2025-01-02T00:03:00.000Z";"1475.7"
"2025-01-02T01:00:00.000Z";"2025-01-02T01:03:00.000Z";"1149.7"
"2025-01-02T02:00:00.000Z";"2025-01-02T02:03:00.000Z";"1045.8"
"2025-01-02T03:00:00.000Z";"2025-01-02T03:03:00.000Z";"1198.3"
"2025-01-02T04:00:00.000Z";"2025-01-02T04:03:00.000Z";"1528.3"
"2025-01-02T05:00:00.000Z";"2025-01-02T05:03:00.000Z";"1803"
"2025-01-02T06:00:00.000Z";"2025-01-02T06:03:00.000Z";"1805.8"
"2025-01-02T07:00:00.000Z";"2025-01-02T07:03:00.000Z";"2000"
"2025-01-02T08:00:00.000Z";"2025-01-02T08:03:00.000Z";"2063.5"
"2025-01-02T09:00:00.000Z";"2025-01-02T09:03:00.000Z";"2118"
"2025-01-02T10:00:00.000Z";"2025-01-02T10:03:00.000Z";"1985.5"
"2025-01-02T11:00:00.000Z";"2025-01-02T11:03:00.000Z";"2092.7"
"2025-01-02T12:00:00.000Z";"2025-01-02T12:03:00.000Z";"2092.2"
"2025-01-02T13:00:00.000Z";"2025-01-02T13:03:00.000Z";"2025.8"
"2025-01-02T14:00:00.000Z";"2025-01-02T14:03:00.000Z";"2123.8"
"2025-01-02T15:00:00.000Z";"2025-01-02T15:03:00.000Z";"2296.5"
"2025-01-02T16:00:00.000Z";"2025-01-02T16:03:00.000Z";"2109"
"2025-01-02T17:00:00.000Z";"2025-01-02T17:03:00.000Z";"2072.7"
"2025-01-02T18:00:00.000Z";"2025-01-02T18:03:00.000Z";"2098.8"
"2025-01-02T19:00:00.000Z";"2025-01-02T19:03:00.000Z";"1966.7"
"2025-01-02T20:00:00.000Z";"2025-01-02T20:03:00.000Z";"1916.2"
"2025-01-02T21:00:00.000Z";"2025-01-02T21:03:00.000Z";"1847.3"
"2025-01-02T22:00:00.000Z";"2025-01-02T22:03:00.000Z";"1494.5"
"2025-01-02T23:00:00.000Z";"2025-01-02T23:03:00.000Z";"1267.3"
