"Alkuaika UTC";"Loppuaika UTC";"Vesivoimatuotanto - reaaliaikatieto"
"2025-04-27T18:00:00.000Z";"2025-04-27T18:03:00.000Z";"2210.3"
"2025-04-27T19:00:00.000Z";"2025-04-27T19:03:00.000Z";"2137.3"
"2025-04-27T20:00:00.000Z";"2025-04-27T20:03:00.000Z";"1963.2"
"2025-04-27T21:00:00.000Z";"2025-04-27T21:03:00.000Z";"1903.7"
"2025-04-27T22:00:00.000Z";"2025-04-27T22:03:00.000Z";"1741.3"
"2025-04-27T23:00:00.000Z";"2025-04-27T23:03:00.000Z";"1516.7"
"2025-04-28T00:00:00.000Z";"2025-04-28T00:03:00.000Z";"1595.7"
"2025-04-28T01:00:00.000Z";"2025-04-28T01:03:00.000Z";"1628.2"
"2025-04-28T02:00:00.000Z";"2025-04-28T02:03:00.000Z";"1596.2"
"2025-04-28T03:00:00.000Z";"2025-04-28T03:03:00.000Z";"1692.3"
"2025-04-28T04:00:00.000Z";"2025-04-28T04:03:00.000Z";"2049"
"2025-04-28T05:00:00.000Z";"2025-04-28T05:03:00.000Z";"2349.6"
"2025-04-28T06:00:00.000Z";"2025-04-28T06:03:00.000Z";"2258.8"
"2025-04-28T07:00:00.000Z";"2025-04-28T07:03:00.000Z";"2169.7"
"2025-04-28T08:00:00.000Z";"2025-04-28T08:03:00.000Z";"1851.5"
"2025-04-28T09:00:00.000Z";"2025-04-28T09:03:00.000Z";"1837.8"
"2025-04-28T10:00:00.000Z";"2025-04-28T10:03:00.000Z";"1554.5"
"2025-04-28T11:00:00.000Z";"2025-04-28T11:03:00.000Z";"1413.8"
"2025-04-28T12:00:00.000Z";"2025-04-28T12:03:00.000Z";"1439"
"2025-04-28T13:00:00.000Z";"2025-04-28T13:03:00.000Z";"1492.2"
"2025-04-28T14:00:00.000Z";"2025-04-28T14:03:00.000Z";"1754.1"
"2025-04-28T15:00:00.000Z";"2025-04-28T15:03:00.000Z";"1717.5"
"2025-04-28T16:00:00.000Z";"2025-04-28T16:03:00.000Z";"1916.2"
"2025-04-28T17:00:00.000Z";"2025-04-28T17:03:00.000Z";"2188.2"
"2025-04-28T18:00:00.000Z";"2025-04-28T18:03:00.000Z";"2051.3"
"2025-04-28T19:00:00.000Z";"2025-04-28T19:03:00.000Z";"1965.7"
"2025-04-28T20:00:00.000Z";"2025-04-28T20:03:00.000Z";"1911.2"
"2025-04-28T21:00:00.000Z";"2025-04-28T21:03:00.000Z";"1908.3"
"2025-04-28T22:00:00.000Z";"2025-04-28T22:03:00.000Z";"1634"
"2025-04-28T23:00:00.000Z";"2025-04-28T23:03:00.000Z";"1493.8"
"2025-04-29T00:00:00.000Z";"2025-04-29T00:03:00.000Z";"1476.8"
"2025-04-29T01:00:00.000Z";"2025-04-29T01:03:00.000Z";"1322.8"
"2025-04-29T02:00:00.000Z";"2025-04-29T02:03:00.000Z";"1160.7"
