"Alkuaika UTC";"Loppuaika UTC";"Aurinkovoimaennusteessa käytetty kokonaiskapasiteetti"
"2025-01-02T00:00:00.000Z";"2025-01-02T01:00:00.000Z";"1109.3"
"2025-01-02T01:00:00.000Z";"2025-01-02T02:00:00.000Z";"1109.3"
"2025-01-02T02:00:00.000Z";"2025-01-02T03:00:00.000Z";"1109.3"
"2025-01-02T03:00:00.000Z";"2025-01-02T04:00:00.000Z";"1109.3"
"2025-01-02T04:00:00.000Z";"2025-01-02T05:00:00.000Z";"1109.3"
"2025-01-02T05:00:00.000Z";"2025-01-02T06:00:00.000Z";"1109.3"
"2025-01-02T06:00:00.000Z";"2025-01-02T07:00:00.000Z";"1109.3"
"2025-01-02T07:00:00.000Z";"2025-01-02T08:00:00.000Z";"1109.3"
"2025-01-02T08:00:00.000Z";"2025-01-02T09:00:00.000Z";"1109.3"
"2025-01-02T09:00:00.000Z";"2025-01-02T10:00:00.000Z";"1109.3"
"2025-01-02T10:00:00.000Z";"2025-01-02T11:00:00.000Z";"1109.3"
"2025-01-02T11:00:00.000Z";"2025-01-02T12:00:00.000Z";"1109.3"
"2025-01-02T12:00:00.000Z";"2025-01-02T13:00:00.000Z";"1109.3"
"2025-01-02T13:00:00.000Z";"2025-01-02T14:00:00.000Z";"1109.3"
"2025-01-02T14:00:00.000Z";"2025-01-02T15:00:00.000Z";"1109.3"
"2025-01-02T15:00:00.000Z";"2025-01-02T16:00:00.000Z";"1109.3"
"2025-01-02T16:00:00.000Z";"2025-01-02T17:00:00.000Z";"1109.3"
"2025-01-02T17:00:00.000Z";"2025-01-02T18:00:00.000Z";"1109.3"
"2025-01-02T18:00:00.000Z";"2025-01-02T19:00:00.000Z";"1109.3"
"2025-01-02T19:00:00.000Z";"2025-01-02T20:00:00.000Z";"1109.3"
"2025-01-02T20:00:00.000Z";"2025-01-02T21:00:00.000Z";"1109.3"
"2025-01-02T21:00:00.000Z";"2025-01-02T22:00:00.000Z";"1109.3"
"2025-01-02T22:00:00.000Z";"2025-01-02T23:00:00.000Z";"1109.3"
"2025-01-02T23:00:00.000Z";"2025-01-03T00:00:00.000Z";"1109.3"
