"Alkuaika UTC";"Loppuaika UTC";"Aurinkovoimaennusteessa käytetty kokonaiskapasiteetti"
"2025-04-27T18:00:00.000Z";"2025-04-27T19:00:00.000Z";"1265.1"
"2025-04-27T19:00:00.000Z";"2025-04-27T20:00:00.000Z";"1265.1"
"2025-04-27T20:00:00.000Z";"2025-04-27T21:00:00.000Z";"1265.1"
"2025-04-27T21:00:00.000Z";"2025-04-27T22:00:00.000Z";"1265.1"
"2025-04-27T22:00:00.000Z";"2025-04-27T23:00:00.000Z";"1265.1"
"2025-04-27T23:00:00.000Z";"2025-04-28T00:00:00.000Z";"1265.1"
"2025-04-28T00:00:00.000Z";"2025-04-28T01:00:00.000Z";"1265.1"
"2025-04-28T01:00:00.000Z";"2025-04-28T02:00:00.000Z";"1265.1"
"2025-04-28T02:00:00.000Z";"2025-04-28T03:00:00.000Z";"1265.1"
"2025-04-28T03:00:00.000Z";"2025-04-28T04:00:00.000Z";"1265.1"
"2025-04-28T04:00:00.000Z";"2025-04-28T05:00:00.000Z";"1265.1"
"2025-04-28T05:00:00.000Z";"2025-04-28T06:00:00.000Z";"1265.1"
"2025-04-28T06:00:00.000Z";"2025-04-28T07:00:00.000Z";"1265.1"
"2025-04-28T07:00:00.000Z";"2025-04-28T08:00:00.000Z";"1265.1"
"2025-04-28T08:00:00.000Z";"2025-04-28T09:00:00.000Z";"1265.1"
"2025-04-28T09:00:00.000Z";"2025-04-28T10:00:00.000Z";"1265.1"
"2025-04-28T10:00:00.000Z";"2025-04-28T11:00:00.000Z";"1265.1"
"2025-04-28T11:00:00.000Z";"2025-04-28T12:00:00.000Z";"1265.1"
"2025-04-28T12:00:00.000Z";"2025-04-28T13:00:00.000Z";"1265.1"
"2025-04-28T13:00:00.000Z";"2025-04-28T14:00:00.000Z";"1265.1"
"2025-04-28T14:00:00.000Z";"2025-04-28T15:00:00.000Z";"1265.1"
"2025-04-28T15:00:00.000Z";"2025-04-28T16:00:00.000Z";"1265.1"
"2025-04-28T16:00:00.000Z";"2025-04-28T17:00:00.000Z";"1265.1"
"2025-04-28T17:00:00.000Z";"2025-04-28T18:00:00.000Z";"1265.1"
"2025-04-28T18:00:00.000Z";"2025-04-28T19:00:00.000Z";"1265.1"
"2025-04-28T19:00:00.000Z";"2025-04-28T20:00:00.000Z";"1265.1"
"2025-04-28T20:00:00.000Z";"2025-04-28T21:00:00.000Z";"1265.1"
"2025-04-28T21:00:00.000Z";"2025-04-28T22:00:00.000Z";"1265.1"
"2025-04-28T22:00:00.000Z";"2025-04-28T23:00:00.000Z";"1265.1"
"2025-04-28T23:00:00.000Z";"2025-04-29T00:00:00.000Z";"1265.1"
"2025-04-29T00:00:00.000Z";"2025-04-29T01:00:00.000Z";"1265.1"
"2025-04-29T01:00:00.000Z";"2025-04-29T02:00:00.000Z";"1265.1"
