"Alkuaika UTC";"Loppuaika UTC";"Tuulivoimatuotanto - reaaliaikatieto"
"2025-01-02T00:00:00.000Z";"2025-01-02T00:03:00.000Z";"415"
"2025-01-02T01:00:00.000Z";"2025-01-02T01:03:00.000Z";"426.5"
"2025-01-02T02:00:00.000Z";"2025-01-02T02:03:00.000Z";"467.51"
"2025-01-02T03:00:00.000Z";"2025-01-02T03:03:00.000Z";"414.01"
"2025-01-02T04:00:00.000Z";"2025-01-02T04:03:00.000Z";"402.99"
"2025-01-02T05:00:00.000Z";"2025-01-02T05:03:00.000Z";"346.49"
"2025-01-02T06:00:00.000Z";"2025-01-02T06:03:00.000Z";"254.99"
"2025-01-02T07:00:00.000Z";"2025-01-02T07:03:00.000Z";"329.5"
"2025-01-02T08:00:00.000Z";"2025-01-02T08:03:00.000Z";"295"
"2025-01-02T09:00:00.000Z";"2025-01-02T09:03:00.000Z";"258.99"
"2025-01-02T10:00:00.000Z";"2025-01-02T10:03:00.000Z";"320"
"2025-01-02T11:00:00.000Z";"2025-01-02T11:03:00.000Z";"363"
"2025-01-02T12:00:00.000Z";"2025-01-02T12:03:00.000Z";"430"
"2025-01-02T13:00:00.000Z";"2025-01-02T13:03:00.000Z";"538.01"
"2025-01-02T14:00:00.000Z";"2025-01-02T14:03:00.000Z";"712.99"
"2025-01-02T15:00:00.000Z";"2025-01-02T15:03:00.000Z";"818.01"
"2025-01-02T16:00:00.000Z";"2025-01-02T16:03:00.000Z";"1194"
"2025-01-02T17:00:00.000Z";"2025-01-02T17:03:00.000Z";"1489"
"2025-01-02T18:00:00.000Z";"2025-01-02T18:03:00.000Z";"1539.5"
"2025-01-02T19:00:00.000Z";"2025-01-02T19:03:00.000Z";"1487"
"2025-01-02T20:00:00.000Z";"2025-01-02T20:03:00.000Z";"1318.5"
"2025-01-02T21:00:00.000Z";"2025-01-02T21:03:00.000Z";"1372"
"2025-01-02T22:00:00.000Z";"2025-01-02T22:03:00.000Z";"1465"
"2025-01-02T23:00:00.000Z";"2025-01-02T23:03:00.000Z";"1314"
